,postcode,area,country,country_code,region,district,district_code,lat,long
0,S101AE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3811,-1.4989
1,S101AG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3792,-1.5161
2,S101AJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3819,-1.4976
3,S101AR,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3816,-1.4968
4,S101BA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3854,-1.4935
5,S101BB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.379,-1.4995
6,S101BD,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3843,-1.4957
7,S101BE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3847,-1.4961
8,S101BG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3832,-1.4978
9,S101BH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3833,-1.4983
10,S101BJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3814,-1.4996
11,S101BL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3808,-1.5007
12,S101BN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3791,-1.4999
13,S101BP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3782,-1.5004
14,S101BQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3792,-1.5161
15,S101BS,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3795,-1.4999
16,S101BT,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3793,-1.4996
17,S101BU,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3792,-1.4993
18,S101BX,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3795,-1.4991
19,S101BY,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3807,-1.4986
20,S101BZ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3805,-1.4998
21,S101DA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3804,-1.4978
22,S101DB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3804,-1.4982
23,S101DF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3823,-1.4981
24,S101DG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3833,-1.4972
25,S101DH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3838,-1.4952
26,S101DJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3843,-1.4949
27,S101DY,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3869,-1.4958
28,S101EA,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3858,-1.495
29,S101EB,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3864,-1.4963
30,S101ED,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.386,-1.4948
31,S101EE,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3866,-1.4959
32,S101EF,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3866,-1.4951
33,S101EG,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3863,-1.4965
34,S101EH,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3851,-1.4951
35,S101EJ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3858,-1.4957
36,S101EL,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3854,-1.4951
37,S101EN,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.385,-1.4959
38,S101EP,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3853,-1.4965
39,S101EQ,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3847,-1.4969
40,S101ER,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3854,-1.4967
41,S101ES,Sheffield,England,ENG,South Yorkshire,Sheffield District (B),E08000019,53.3845,-1.4981
